They do not!	They do to!
Would you mind getting me a drink, Cameron?	Great
Great	Joey.
Joey.	Who?
Who?	Where did he go?  He was just here.
Where did he go?  He was just here.	You might wanna think about it
You might wanna think about it	No.
No.	Did you change your hair?
Did you change your hair?	You know the deal.  I can ' t go if Kat doesn't go --
You know the deal.  I can ' t go if Kat doesn't go --	Listen, I want to talk to you about the prom.
Listen, I want to talk to you about the prom.	You're concentrating awfully hard considering it's gym class.
You're concentrating awfully hard considering it's gym class.	Hi, Joey.
Hi, Joey.	Hey, sweet cheeks.
Hey, sweet cheeks.	My agent says I've got a good shot at being the Prada guy next year.
My agent says I've got a good shot at being the Prada guy next year.	Neat...
Neat...	It's a gay cruise line, but I'll be, like, wearing a uniform and stuff.
It's a gay cruise line, but I'll be, like, wearing a uniform and stuff.	Queen Harry?
Queen Harry?	So yeah, I've got the Sears catalog thing going -- and the tube sock gig " that's gonna be huge.  And then I'm up for an ad for Queen Harry next week.
So yeah, I've got the Sears catalog thing going -- and the tube sock gig " that's gonna be huge.  And then I'm up for an ad for Queen Harry next week.	Hopefully.
Hopefully.	Exactly  So, you going to Bogey Lowenbrau's thing on Saturday?
Exactly  So, you going to Bogey Lowenbrau's thing on Saturday?	Expensive?
Expensive?	It's more
It's more	Perm?
Perm?	Patrick -- is that- a.
Patrick -- is that- a.	It's just you.
It's just you.	Is that woman a complete fruit-loop or is it just me?
Is that woman a complete fruit-loop or is it just me?	No! I just wanted
No! I just wanted	What? To completely damage me?  To send me to therapy forever? What?
What? To completely damage me?  To send me to therapy forever? What?	I just wanted --
I just wanted --	You set me up.
You set me up.	Let go!
Let go!	So did you
So did you	You looked beautiful last night, you know.
You looked beautiful last night, you know.	I guess I'll never know, will I?
I guess I'll never know, will I?	Not all experiences are good, Bianca. You can't always trust the people you want to.
Not all experiences are good, Bianca. You can't always trust the people you want to.	God, you're just like him! Just keep me locked away in the dark, so I can't experience anything for myself
God, you're just like him! Just keep me locked away in the dark, so I can't experience anything for myself	I guess I thought I was protecting you.
I guess I thought I was protecting you.	I'm not stupid enough to repeat your mistakes.
I'm not stupid enough to repeat your mistakes.	That's not
That's not	No. you didn't!  If you really thought I could make my own decisions, you would've let me go out with him instead of helping Daddy hold me hostage.
No. you didn't!  If you really thought I could make my own decisions, you would've let me go out with him instead of helping Daddy hold me hostage.	I wanted to let you make up your own mind about him.
I wanted to let you make up your own mind about him.	Why didn't you tell me?
Why didn't you tell me?	After that, I swore I'd never do anything just because "everyone else" was doing it.  And I haven't since. Except for Bogey's party, and my stunning gastro-intestinal display --
After that, I swore I'd never do anything just because "everyone else" was doing it.  And I haven't since. Except for Bogey's party, and my stunning gastro-intestinal display --	But
But	Just once.  Afterwards, I told him I didn't want to anymore.  I wasn't ready. He got pissed.  Then he broke up with me.
Just once.  Afterwards, I told him I didn't want to anymore.  I wasn't ready. He got pissed.  Then he broke up with me.	You did what?
You did what?	He said everyone was doing it.  So I did it.
He said everyone was doing it.  So I did it.	As in...
As in...	Now I do.  Back then, was a different story.
Now I do.  Back then, was a different story.	But you hate Joey
But you hate Joey	He was, like, a total babe
He was, like, a total babe	Why?
Why?	In 9th.  For a month
In 9th.  For a month	What?
What?	Joey never told you we went out, did he?
Joey never told you we went out, did he?	I wish I had that luxury. I'm the only sophomore that got asked to the prom and I can't go, because you won ' t.
I wish I had that luxury. I'm the only sophomore that got asked to the prom and I can't go, because you won ' t.	I do care. But I'm a firm believer in doing something for your own reasons, not someone else ' s .
I do care. But I'm a firm believer in doing something for your own reasons, not someone else ' s .	Like you care.
Like you care.	Listen, I know you hate having to sit home because I'm not Susie High School.
Listen, I know you hate having to sit home because I'm not Susie High School.	You're welcome.
You're welcome.	I don't get you.  You act like you're too good for any of this, and then you go totally apeshit when you get here.
I don't get you.  You act like you're too good for any of this, and then you go totally apeshit when you get here.	I really don't think I need any social advice from you right now.
I really don't think I need any social advice from you right now.	Bianca, I need to talk to you -- I need to tell you --
Bianca, I need to talk to you -- I need to tell you --	Can we go now?
Can we go now?	You are so completely unbalanced.
You are so completely unbalanced.	Yeah, he's your freak friend Mandella's boyfriend.  I guess since I'm not allowed to go out, I should obsess over a dead guy, too.
Yeah, he's your freak friend Mandella's boyfriend.  I guess since I'm not allowed to go out, I should obsess over a dead guy, too.	It's Shakespeare.  Maybe you've heard of him?
It's Shakespeare.  Maybe you've heard of him?	Like I'm supposed to know what that even means.
Like I'm supposed to know what that even means.	At least I'm not a clouted fen- sucked hedge-pig.
At least I'm not a clouted fen- sucked hedge-pig.	Can't you forget for just one night that you're completely wretched?
Can't you forget for just one night that you're completely wretched?	Bogey Lowenstein's party is normal, but you're too busy listening to Bitches Who Need Prozac to know that.
Bogey Lowenstein's party is normal, but you're too busy listening to Bitches Who Need Prozac to know that.	What's normal?
What's normal?	You're ruining my life'  Because you won't be normal, I can't be normal.
You're ruining my life'  Because you won't be normal, I can't be normal.	I think you're a freak.  I think you do this to torture me.  And I think you suck.
I think you're a freak.  I think you do this to torture me.  And I think you suck.	What do you think?
What do you think?	Oh, I thought you might have a date  I don't know why I'm bothering to ask, but are you going to Bogey Lowenstein's party Saturday night?
Oh, I thought you might have a date  I don't know why I'm bothering to ask, but are you going to Bogey Lowenstein's party Saturday night?	It means that Gigglepuss is playing at Club Skunk and we're going.
It means that Gigglepuss is playing at Club Skunk and we're going.	Oh my God, does this mean you're becoming normal?
Oh my God, does this mean you're becoming normal?	Can you at least start wearing a bra?
Can you at least start wearing a bra?	I have the potential to smack the crap out of you if you don't get out of my way.
I have the potential to smack the crap out of you if you don't get out of my way.	Nowhere... Hi, Daddy.
Nowhere... Hi, Daddy.	Where've you been?
Where've you been?	I have a date, Daddy.  And he ' s not a captain of oppression like some men we know.
I have a date, Daddy.  And he ' s not a captain of oppression like some men we know.	I'm missing something.
I'm missing something.	Fine.  I see that I'm a prisoner in my own house.  I'm not a daughter. I'm a possession!
Fine.  I see that I'm a prisoner in my own house.  I'm not a daughter. I'm a possession!	You're not going unless your sister goes.  End of story.
You're not going unless your sister goes.  End of story.	He's not a "hot rod".  Whatever that is.
He's not a "hot rod".  Whatever that is.	It's that hot rod Joey, right? That ' s who you want me to bend my rules for?
It's that hot rod Joey, right? That ' s who you want me to bend my rules for?	No, but
No, but	The prom?  Kat has a date?
The prom?  Kat has a date?	Daddy, I want to discuss the prom with you. It's tomorrow night --
Daddy, I want to discuss the prom with you. It's tomorrow night --	Because she'll scare them away.
Because she'll scare them away.	Why?
Why?	Promise me you won't talk to any boys unless your sister is present.
Promise me you won't talk to any boys unless your sister is present.	Just for a minute
Just for a minute	Daddy, no!
Daddy, no!	Wear the belly before you go.
Wear the belly before you go.	It's just a party. Daddy.
It's just a party. Daddy.	Oh, God.  It's starting.
Oh, God.  It's starting.	If Kat's not going, you're not going.
If Kat's not going, you're not going.	Daddy, people expect me to be there!
Daddy, people expect me to be there!	It's just a party. Daddy, but I knew you'd forbid me to go since "Gloria Steinem" over there isn't going --
It's just a party. Daddy, but I knew you'd forbid me to go since "Gloria Steinem" over there isn't going --	Otherwise known as an orgy?
Otherwise known as an orgy?	If you must know, we were attempting to go to a small study group of friends.
If you must know, we were attempting to go to a small study group of friends.	And where're you going?
And where're you going?	Daddy, I --
Daddy, I --	Exactly my point
Exactly my point	But she doesn't want to date.
But she doesn't want to date.	But it's not fair -- she's a mutant, Daddy!
But it's not fair -- she's a mutant, Daddy!	Then neither will you.  And I'll get to sleep at night.
Then neither will you.  And I'll get to sleep at night.	What if she never starts dating?
What if she never starts dating?	No! You're not dating until your sister starts dating.  End of discussion.
No! You're not dating until your sister starts dating.  End of discussion.	Now don't get upset. Daddy, but there's this boy... and I think he might ask...
Now don't get upset. Daddy, but there's this boy... and I think he might ask...	Just sent 'em through.
Just sent 'em through.	Padua girls.  One tall, decent body. The other one kinda short and undersexed?
Padua girls.  One tall, decent body. The other one kinda short and undersexed?	Never
Never	Fan of a fan.  You see a couple of minors come in?
Fan of a fan.  You see a couple of minors come in?	Didn't have you pegged for a Gigglepuss fan.  Aren't they a little too pre-teen belly-button ring for you?
Didn't have you pegged for a Gigglepuss fan.  Aren't they a little too pre-teen belly-button ring for you?	Always a pleasure, Brucie.
Always a pleasure, Brucie.	Best case scenario, you're back on the payroll for awhile.
Best case scenario, you're back on the payroll for awhile.	You humiliated the woman! Sacrifice yourself on the altar of dignity and even the score.
You humiliated the woman! Sacrifice yourself on the altar of dignity and even the score.	No, I ' m not.
No, I ' m not.	Buttholus extremus.  But hey, you're making progress.
Buttholus extremus.  But hey, you're making progress.	The hell is that?  What kind of 'guy just picks up a girl and carries her away while you're talking to her?
The hell is that?  What kind of 'guy just picks up a girl and carries her away while you're talking to her?	Extremely unfortunate maneuver.
Extremely unfortunate maneuver.	Hell, I've just been going over the whole thing in my head and -
Hell, I've just been going over the whole thing in my head and -	You told me that part already.
You told me that part already.	It's her favorite band.
It's her favorite band.	Assail your ears for one night.
Assail your ears for one night.	Okay!  I wasn't sure
Okay!  I wasn't sure	He's pretty!
He's pretty!	Dead at forty-one.
Dead at forty-one.	Her favorite uncle
Her favorite uncle	It's a lung cancer issue
It's a lung cancer issue	Number one.  She hates smokers
Number one.  She hates smokers	Are you kidding?  He'll piss himself with joy.  He's the ultimate kiss ass.
Are you kidding?  He'll piss himself with joy.  He's the ultimate kiss ass.	Will Bogey get bent?
Will Bogey get bent?	In that case, we'll need to make it a school-wide blow out.
In that case, we'll need to make it a school-wide blow out.	This is it.  A golden opportunity. Patrick can ask Katarina to the party.
This is it.  A golden opportunity. Patrick can ask Katarina to the party.	Like we had a choice?  Besides -- when you let the enemy think he's orchestrating the battle, you're in a position of power. We let him pretend he's calling the shots, and while he's busy setting up the plan, you have time to woo Bianca.
Like we had a choice?  Besides -- when you let the enemy think he's orchestrating the battle, you're in a position of power. We let him pretend he's calling the shots, and while he's busy setting up the plan, you have time to woo Bianca.	You got him involved?
You got him involved?	Hey -- I've gotta have a few clients when I get to Wall Street.
Hey -- I've gotta have a few clients when I get to Wall Street.	I thought you hated those people.
I thought you hated those people.	You know, if you do go out with Bianca, you'd be set.  You'd outrank everyone. Strictly A-list.  With me by your side.
You know, if you do go out with Bianca, you'd be set.  You'd outrank everyone. Strictly A-list.  With me by your side.	That's what I just said
That's what I just said	Did she actually say she'd go out with you?
Did she actually say she'd go out with you?	Forget his reputation.  Do you think we've got a plan or not?
Forget his reputation.  Do you think we've got a plan or not?	I'm serious, man, he's whacked.  He sold his own liver on the black market so he could buy new speakers.
I'm serious, man, he's whacked.  He sold his own liver on the black market so he could buy new speakers.	They always let felons sit in on Honors Biology?
They always let felons sit in on Honors Biology?	No kidding.  He's a criminal.  I heard he lit a state trooper on fire.  He just got out of Alcatraz...
No kidding.  He's a criminal.  I heard he lit a state trooper on fire.  He just got out of Alcatraz...	He seems like he thrives on danger
He seems like he thrives on danger	What makes you think he'll do it?
What makes you think he'll do it?	You wanna go out with him?
You wanna go out with him?	What about him?
What about him?	Unlikely, but even so, she still can't go out with you.  So what's the point?
Unlikely, but even so, she still can't go out with you.  So what's the point?	I teach her French, get to know her, dazzle her with charm and she falls in love with me.
I teach her French, get to know her, dazzle her with charm and she falls in love with me.	The mewling, rampalian wretch herself.
The mewling, rampalian wretch herself.	That's her?  Bianca's sister?
That's her?  Bianca's sister?	Yeah, just a minor encounter with the shrew.
Yeah, just a minor encounter with the shrew.	You could consecrate with her, my friend.
You could consecrate with her, my friend.	You mean I'd get a chance to talk to her?
You mean I'd get a chance to talk to her?	Guess who just signed up for a tutor?
Guess who just signed up for a tutor?	Sure do ... my Mom's from Canada
Sure do ... my Mom's from Canada	You know French?
You know French?	Joey Dorsey?  Perma-shit-grin.  I wish I could say he's a moron, but he's number twelve in the class.  And a model.  Mostly regional stuff, but he's rumored to have a big tube sock ad coming out.
Joey Dorsey?  Perma-shit-grin.  I wish I could say he's a moron, but he's number twelve in the class.  And a model.  Mostly regional stuff, but he's rumored to have a big tube sock ad coming out.	He always have that shit-eating grin?
He always have that shit-eating grin?	Because they're bred to.  Their mothers liked guys like that, and their grandmothers before them. Their gene pool is rarely diluted.
Because they're bred to.  Their mothers liked guys like that, and their grandmothers before them. Their gene pool is rarely diluted.	Why do girls like that always like guys like that?
Why do girls like that always like guys like that?	I could start with your haircut, but it doesn't matter.  She's not allowed to date until her older sister does.  And that's an impossibility.
I could start with your haircut, but it doesn't matter.  She's not allowed to date until her older sister does.  And that's an impossibility.	Why not?
Why not?	Bianca Stratford.  Sophomore. Don't even think about it
Bianca Stratford.  Sophomore. Don't even think about it	Who is she?
Who is she?	You burn, you pine, you perish?
You burn, you pine, you perish?	That girl -- I --
That girl -- I --	Yeah, but these guys have never seen a horse.  They just jack off to Clint Eastwood.
Yeah, but these guys have never seen a horse.  They just jack off to Clint Eastwood.	That I'm used to.
That I'm used to.	Couple thousand. Most of them evil
Couple thousand. Most of them evil	How many people go here?
How many people go here?	Get out!
Get out!	Thirty-two.
Thirty-two.	How many people were in your old school?
How many people were in your old school?	Yeah.  A couple.  We're outnumbered by the cows, though.
Yeah.  A couple.  We're outnumbered by the cows, though.	I was kidding. People actually live there?
I was kidding. People actually live there?	North, actually.  How'd you   ?
North, actually.  How'd you   ?	So -- which Dakota you from?
So -- which Dakota you from?	C'mon.  I'm supposed to give you the tour.
C'mon.  I'm supposed to give you the tour.	So they tell me...
So they tell me...	You the new guy?
You the new guy?	You get the girl.
You get the girl.	What's the worst?
What's the worst?	Where?
Where?	She kissed me.
She kissed me.	You makin' any headway?
You makin' any headway?	She just needs time to cool off I'll give it a day.
She just needs time to cool off I'll give it a day.	She hates you with the fire of a thousand suns .  That's a direct quote
She hates you with the fire of a thousand suns .  That's a direct quote	I don ' t know.  I decided not to nail her when she was too drunk to remember it.
I don ' t know.  I decided not to nail her when she was too drunk to remember it.	What'd you do to her?
What'd you do to her?	Then, go get her
Then, go get her	Sure
Sure	Cameron -- do you like the girl?
Cameron -- do you like the girl?	She's partial to Joey, not me
She's partial to Joey, not me	What 're you talking about?
What 're you talking about?	It's off. The whole thing.
It's off. The whole thing.	Cameron, I'm a little busy
Cameron, I'm a little busy	Don't make me do it, man
Don't make me do it, man	Gigglepuss is playing there tomorrow night.
Gigglepuss is playing there tomorrow night.	So what does that give me?  I'm supposed to buy her some noodles and a book and sit around listening to chicks who can't play their instruments?
So what does that give me?  I'm supposed to buy her some noodles and a book and sit around listening to chicks who can't play their instruments?	Okay -- Likes:  Thai food, feminist prose, and "angry, stinky girl music of the indie-rock persuasion".
Okay -- Likes:  Thai food, feminist prose, and "angry, stinky girl music of the indie-rock persuasion".	I've retrieved certain pieces of information on Miss Katarina Stratford I think you'll find helpful.
I've retrieved certain pieces of information on Miss Katarina Stratford I think you'll find helpful.	What've you got for me?
What've you got for me?	Yeah -- we'll see.
Yeah -- we'll see.	And he means that strictly in a non- prison-movie type of way.
And he means that strictly in a non- prison-movie type of way.	And why would I do that?
And why would I do that?	Leave my sister alone.
Leave my sister alone.	Your sister here?
Your sister here?	Away.
Away.	Where ya goin?
Where ya goin?	Not at all
Not at all	Hey -- do you mind?
Hey -- do you mind?	They're running the rest of me next month.
They're running the rest of me next month.	Yeah, and I noticed the only part of you featured in your big Kmart spread was your elbow.  Tough break.
Yeah, and I noticed the only part of you featured in your big Kmart spread was your elbow.  Tough break.	The vintage look is over, Kat. Haven't you been reading your Sassy?
The vintage look is over, Kat. Haven't you been reading your Sassy?	Enough with the Barbie n' Ken shit. I know.
Enough with the Barbie n' Ken shit. I know.	I don't know, Dorsey. ..the limo.-the flowers.  Another hundred for the tux --
I don't know, Dorsey. ..the limo.-the flowers.  Another hundred for the tux --	Get her to act like a human
Get her to act like a human	Do what?
Do what?	How'd you do it?
How'd you do it?	A deal's a deal.
A deal's a deal.	It's about time.
It's about time.	Forget her sister, then.
Forget her sister, then.	Forget it.
Forget it.	A hundred bucks a date.
A hundred bucks a date.	What?
What?	I just upped my price
I just upped my price	I got her under control. She just acts crazed in public to keep up the image.
I got her under control. She just acts crazed in public to keep up the image.	Watching the bitch trash my car doesn't count as a date.
Watching the bitch trash my car doesn't count as a date.	I'm on it
I'm on it	When I shell out fifty, I expect results.
When I shell out fifty, I expect results.	Fifty, and you've got your man.
Fifty, and you've got your man.	Take it or leave it.  This isn't a negotiation.
Take it or leave it.  This isn't a negotiation.	Fine, thirty.
Fine, thirty.	I can't take a girl like that out on twenty bucks.
I can't take a girl like that out on twenty bucks.	How much?
How much?	I can't date her sister until that one gets a boyfriend.  And that's the catch. She doesn't want a boyfriend.
I can't date her sister until that one gets a boyfriend.  And that's the catch. She doesn't want a boyfriend.	You're gonna pay me to take out some girl?
You're gonna pay me to take out some girl?	You got it, Verona.  I pick up the tab, you do the honors.
You got it, Verona.  I pick up the tab, you do the honors.	But you'd go out with her if you had the cake?
But you'd go out with her if you had the cake?	You need money to take a girl out
You need money to take a girl out	You just said
You just said	Sure, Sparky.  I'll get right on it.
Sure, Sparky.  I'll get right on it.	Yeah, whatever.  I want you to go out with her.
Yeah, whatever.  I want you to go out with her.	Two legs, nice rack...
Two legs, nice rack...	What do you think?
What do you think?	Yeah
Yeah	Hey -- it's all for the higher good right?
Hey -- it's all for the higher good right?	You better not fuck this up.  I'm heavily invested.
You better not fuck this up.  I'm heavily invested.	What?  We took bathes together when we were kids.
What?  We took bathes together when we were kids.	You and Verona?
You and Verona?	Uh,  yeah.  We're old friend*
Uh,  yeah.  We're old friend*	I hear you're helpin' Verona.
I hear you're helpin' Verona.	So what you need to do is recruit a guy who'll go out with her.  Someone who's up for the job.
So what you need to do is recruit a guy who'll go out with her.  Someone who's up for the job.	Does this conversation have a purpose?
Does this conversation have a purpose?	But she can't go out with you because her sister is this insane head case and no one will go out with her. right?
But she can't go out with you because her sister is this insane head case and no one will go out with her. right?	We're not.
We're not.	Well, actually, I thought I'd run an idea by you.  You know, just to see if you're interested.
Well, actually, I thought I'd run an idea by you.  You know, just to see if you're interested.	We don't chat.
We don't chat.	Nope - just came by to chat
Nope - just came by to chat	Are you lost?
Are you lost?	Hey.
Hey.	Oh, honey -- tell me we haven't' progressed to full-on hallucinations.
Oh, honey -- tell me we haven't' progressed to full-on hallucinations.	William - he asked me to meet him here.
William - he asked me to meet him here.	Who?
Who?	Have you seen him?
Have you seen him?	Oh, good.  Something new and different for us.
Oh, good.  Something new and different for us.	You ' re looking at this from the wrong perspective.  We're making a statement.
You ' re looking at this from the wrong perspective.  We're making a statement.	Okay, okay, we won't go.  It's not like I have a dress anyway
Okay, okay, we won't go.  It's not like I have a dress anyway	Listen to you!  You sound like Betty, all pissed off because Archie is taking Veronica.
Listen to you!  You sound like Betty, all pissed off because Archie is taking Veronica.	Well, I guess we're not, since we don't have dates .
Well, I guess we're not, since we don't have dates .	Can you even imagine?  Who the hell would go to this a bastion of commercial excess?
Can you even imagine?  Who the hell would go to this a bastion of commercial excess?	I got drunk.  I puked.  I got rejected. It was big fun.
I got drunk.  I puked.  I got rejected. It was big fun.	You didn't
You didn't	I did Bianca a favor and it backfired.
I did Bianca a favor and it backfired.	You didn't have a choice?  Where's Kat and what have you done with her?
You didn't have a choice?  Where's Kat and what have you done with her?	I didn't have a choice.
I didn't have a choice.	You went to the party?  I thought we were officially opposed to suburban social activity.
You went to the party?  I thought we were officially opposed to suburban social activity.	Who cares?
Who cares?	What'd he say?
What'd he say?	No fear.
No fear.	You think this'll work?
You think this'll work?	If I was Bianca, it would be, "Any school you want, precious.  Don't forget your tiara."
If I was Bianca, it would be, "Any school you want, precious.  Don't forget your tiara."	Does it matter?
Does it matter?	I appreciate your efforts toward a speedy death, but I'm consuming.  Do you mind?
I appreciate your efforts toward a speedy death, but I'm consuming.  Do you mind?	Neither has his heterosexuality.
Neither has his heterosexuality.	That's never been proven
That's never been proven	William didn't even go to high school
William didn't even go to high school	William would never have gone to a state school.
William would never have gone to a state school.	So he has this huge raging fit about Sarah Lawrence and insists that I go to his male-dominated, puking frat boy, number one golf team school. I have no say at all.
So he has this huge raging fit about Sarah Lawrence and insists that I go to his male-dominated, puking frat boy, number one golf team school. I have no say at all.	You could always go with me.  I'm sure William has some friends.
You could always go with me.  I'm sure William has some friends.	The people at this school are so incredibly foul.
The people at this school are so incredibly foul.	But imagine the things he'd say during sex.
But imagine the things he'd say during sex.	I realize that the men of this fine institution are severely lacking, but killing yourself so you can be with William Shakespeare is beyond the scope of normal teenage obsessions.  You're venturing far past daytime talk show fodder and entering the world of those who need very expensive therapy.
I realize that the men of this fine institution are severely lacking, but killing yourself so you can be with William Shakespeare is beyond the scope of normal teenage obsessions.  You're venturing far past daytime talk show fodder and entering the world of those who need very expensive therapy.	An attempted slit.
An attempted slit.	What's this?
What's this?	Just a little.
Just a little.	Mandella, eat.  Starving yourself is a very slow way to die.
Mandella, eat.  Starving yourself is a very slow way to die.	Block E?
Block E?	He always look so
He always look so	I'm sure he's completely incapable of doing anything that interesting.
I'm sure he's completely incapable of doing anything that interesting.	That's Pat Verona? The one who was gone for a year? I heard he was doing porn movies.
That's Pat Verona? The one who was gone for a year? I heard he was doing porn movies.	Patrick Verona   Random skid.
Patrick Verona   Random skid.	Who's that?
Who's that?	Don ' t you even dare. . .
Don ' t you even dare. . .	Oh, Bianca?  Can you get me my freshman yearbook?
Oh, Bianca?  Can you get me my freshman yearbook?	Because I like to torture you.
Because I like to torture you.	Why is my veggie burger the only burnt object on this grill?
Why is my veggie burger the only burnt object on this grill?	Yeah, but then I fucked up. I fell for her.
Yeah, but then I fucked up. I fell for her.	Is that right?
Is that right?	Besides, I had some extra cash. Some asshole paid me to take out a really great girl.
Besides, I had some extra cash. Some asshole paid me to take out a really great girl.	I thought you could use it. When you start your band.
I thought you could use it. When you start your band.	A Fender Strat. You bought this?
A Fender Strat. You bought this?	I didn't care about the money.
I didn't care about the money.	Really?  What was it like?  A down payment now, then a bonus for sleeping with me?
Really?  What was it like?  A down payment now, then a bonus for sleeping with me?	It wasn't like that.
It wasn't like that.	You were paid to take me out!  By -- the one person I truly hate.  I knew it was a set-up!
You were paid to take me out!  By -- the one person I truly hate.  I knew it was a set-up!	Wait I...
Wait I...	It gets worse -- you still have your freshman yearbook?
